scaffold	start	end	mid	sites	lnL
scaffold_4	87882	97580	90986	100	-5398.15977
scaffold_4	97753	114444	106383	100	-15862.17424
scaffold_4	114554	142041	132958	100	-19829.27546
scaffold_4	142065	165390	150677	100	-22951.96751
scaffold_4	165402	194180	183819	100	-16323.36395
scaffold_4	194213	215731	209601	100	-14013.24627
scaffold_4	215806	230700	222128	100	-19887.45183
scaffold_4	230778	268243	254103	100	-16135.62274
scaffold_4	268249	291154	280083	100	-15327.26458
scaffold_4	291163	316836	304205	100	-12295.21410
scaffold_4	317230	345050	330646	100	-11880.23110
scaffold_4	345062	367632	359941	100	-17566.58869
scaffold_4	367641	403275	386368	100	-19690.28265
scaffold_4	403278	421097	416880	100	-9456.43499
scaffold_4	421213	449730	436814	100	-7377.61549
scaffold_4	449745	480239	462770	100	-16167.21017
scaffold_4	480245	502374	488892	100	-21259.01144
scaffold_4	502395	537335	517482	100	-17561.81134
scaffold_4	537341	624252	594161	100	-18631.76224
scaffold_4	624273	635244	627893	100	-12246.37997
scaffold_4	635313	652981	647832	100	-14685.41713
scaffold_4	654377	667838	660114	100	-24648.51054
scaffold_4	667904	698512	683988	100	-7968.41967
scaffold_4	698575	709631	704973	100	-11380.07422
scaffold_4	709643	834714	780856	100	-12319.89645
scaffold_4	834858	876206	859398	100	-16901.60030
scaffold_4	876322	921921	896440	100	-16860.30624
scaffold_4	921963	932788	927029	100	-24436.98864
scaffold_4	932863	961860	949262	100	-23067.22364
scaffold_4	961866	1020100	985943	100	-20448.86654
scaffold_4	1020115	1050105	1031922	100	-15921.25195
scaffold_4	1050231	1062850	1056826	100	-15353.57827
scaffold_4	1063005	1099078	1072381	100	-13216.49881
scaffold_4	1099096	1134415	1122727	100	-15535.03778
scaffold_4	1134472	1150145	1142479	100	-16377.26622
scaffold_4	1150251	1197550	1167804	100	-14059.26649
scaffold_4	1198214	1241091	1214005	100	-14730.47355
scaffold_4	1241115	1286534	1271238	100	-15136.81555
scaffold_4	1286540	1325810	1316100	100	-12539.17558
scaffold_4	1325816	1353086	1340376	100	-11124.09223
scaffold_4	1353107	1371827	1363177	100	-12240.43033
scaffold_4	1371978	1392450	1384187	100	-6628.38696
scaffold_4	1392932	1417810	1404805	100	-8340.83492
scaffold_4	1417961	1544586	1473024	100	-6890.89912
scaffold_4	1544598	1572115	1558293	100	-14278.21112
scaffold_4	1573137	1614830	1593223	100	-15131.55291
scaffold_4	1614848	1658322	1623628	100	-15117.08480
scaffold_4	1658373	1701885	1674269	100	-15603.73572
scaffold_4	1701990	1718104	1709369	100	-18396.50632
scaffold_4	1718113	1742109	1731304	100	-18417.83679
scaffold_4	1742205	1765338	1758205	100	-16642.93122
scaffold_4	1765362	1806760	1790303	100	-12606.14074
scaffold_4	1806853	1825904	1818607	100	-19005.40085
scaffold_4	1825919	1839547	1834656	100	-8558.57465
